rmse;hl;T;RS
9.973753160240738;10;13;15
10.199910285342014;25;13;15
10.097745910793122;40;13;15
10.010192931573622;55;13;15
9.928776093832385;70;13;15
10.02722162719734;85;13;15
10.121926151601729;100;13;15
9.872888287131914;10;26;15
10.090539676933329;25;26;15
9.935062168941604;40;26;15
9.951341179944958;55;26;15
9.90532248684869;70;26;15
9.925868899029483;85;26;15
9.969815269877309;100;26;15
9.954848365599789;10;39;15
10.090609287374264;25;39;15
9.951538759458447;40;39;15
9.973998433672149;55;39;15
9.933677656886776;70;39;15
10.04547839820346;85;39;15
10.010888989008563;100;39;15
9.93891572173512;10;52;15
10.127673594898;25;52;15
9.949954535577891;40;52;15
10.126207599584196;55;52;15
9.940648401743674;70;52;15
10.130263816303998;85;52;15
10.014541919387652;100;52;15
9.931937204605044;10;65;15
10.0076750606639;25;65;15
10.040134584657912;40;65;15
10.187788835008863;55;65;15
9.95143449810519;70;65;15
10.076065885225251;85;65;15
10.012737430196914;100;65;15
9.925969233067084;10;78;15
9.995722578415176;25;78;15
9.938525157775713;40;78;15
10.169081992758256;55;78;15
9.977169569298042;70;78;15
10.041705155746303;85;78;15
10.009124244317606;100;78;15
9.927027356503672;10;91;15
10.015616628472728;25;91;15
9.934219303902266;40;91;15
9.970954016898892;55;91;15
9.959721458110494;70;91;15
9.931911257483714;85;91;15
9.941871343208824;100;91;15
9.9259383186369;10;104;15
10.033927030827268;25;104;15
9.929438320469062;40;104;15
9.973284544024825;55;104;15
9.933738704691525;70;104;15
9.946821788613311;85;104;15
9.957388803732234;100;104;15
9.925529881595644;10;117;15
10.067088646627672;25;117;15
10.045436141981677;40;117;15
10.033529140306756;55;117;15
9.973914291612395;70;117;15
10.019213128746552;85;117;15
9.967616320344364;100;117;15
9.93784405921686;10;130;15
10.048108291257;25;130;15
9.961749709853438;40;130;15
10.027587904317716;55;130;15
9.989169692668009;70;130;15
10.024624521098156;85;130;15
9.986597073121104;100;130;15
9.953323427044998;10;143;15
10.0445847728342;25;143;15
9.967424660109392;40;143;15
10.026330901806478;55;143;15
10.00032280917674;70;143;15
10.098204100516751;85;143;15
9.997210855174066;100;143;15
9.957068726396887;10;156;15
10.047640667842586;25;156;15
9.982897708723948;40;156;15
10.059846470188573;55;156;15
9.981462049074963;70;156;15
10.125678078769194;85;156;15
10.01003540653936;100;156;15
9.955791282993854;10;169;15
10.039878290448666;25;169;15
10.151909835680067;40;169;15
10.124136355524954;55;169;15
9.978216039760069;70;169;15
10.05429535787051;85;169;15
10.13474862143928;100;169;15
10.053490142913436;10;182;15
10.011724678424654;25;182;15
9.984296405295744;40;182;15
10.121814798392812;55;182;15
9.955963256186903;70;182;15
10.108712625990062;85;182;15
10.021980364548348;100;182;15
9.970159418202602;10;195;15
10.01041157419594;25;195;15
9.982658455852144;40;195;15
10.12708337123937;55;195;15
9.959279295237922;70;195;15
10.114151663714845;85;195;15
10.029612158514926;100;195;15
9.964812991737803;10;208;15
10.036100744380926;25;208;15
9.977994262476496;40;208;15
10.14989302751551;55;208;15
9.969126929073704;70;208;15
10.137871914530129;85;208;15
10.029348453570003;100;208;15
9.9619760511548;10;221;15
10.128175415852;25;221;15
9.978594410466522;40;221;15
10.128183970100835;55;221;15
9.968806675062778;70;221;15
10.11058813509908;85;221;15
10.045166069447792;100;221;15
9.959786207705594;10;234;15
10.13071286088525;25;234;15
9.97461398051579;40;234;15
10.12929128504787;55;234;15
9.987452300955914;70;234;15
10.1123933788033;85;234;15
10.052480133853066;100;234;15
9.97278745165629;10;247;15
10.14774831321885;25;247;15
9.984299210360131;40;247;15
10.113950980239606;55;247;15
10.019003611247784;70;247;15
10.092944668980106;85;247;15
10.00958301024876;100;247;15
9.985849316470867;10;260;15
10.147277298251426;25;260;15
