rmse;L;r;method
0.41487341161006686;52;8;recurrent
0.4156943096416483;65;8;recurrent
0.4291652761344892;78;8;recurrent
0.4477518242502851;117;12;recurrent
0.4479519390250806;117;8;recurrent
0.4508697166588151;104;12;recurrent
0.4516744969027815;52;12;recurrent
0.4524426905172952;130;8;recurrent
0.4551291506393703;65;12;recurrent
0.45793679360467676;78;12;recurrent
0.45807540822203585;91;8;recurrent
0.46157640664125504;104;16;recurrent
0.463285163938435;39;8;recurrent
0.4688188729935686;65;16;recurrent
0.4713734656509378;117;16;recurrent
0.47404914384085045;91;12;recurrent
0.4752735810683802;52;16;recurrent
0.477629418185883;26;8;recurrent
0.4778195490038904;104;8;recurrent
0.4802585355369331;130;12;recurrent
0.4811223456726285;78;16;recurrent
0.48819534272847875;91;16;recurrent
0.4885027281993649;143;8;recurrent
0.49069471595751996;39;12;recurrent
0.49608799807739423;156;12;recurrent
0.49975800222674976;39;16;recurrent
0.5071795013804672;143;12;recurrent
0.509673757895808;156;8;recurrent
0.5135051384278698;130;16;recurrent
0.5172250519879824;156;16;recurrent
0.5224790624631497;143;16;recurrent
0.5235043929898987;26;12;recurrent
0.5758461319344681;26;16;recurrent
0.6106826697108542;13;8;recurrent
1.3900072751089476;13;12;recurrent
