"","ts_x"
"1",-0.0355415368241183
"2",-0.0408380048826631
"3",0.0146546868999542
"4",0.0750922096133142
"5",0.103254541696271
"6",0.108299872116664
"7",0.102179373556009
"8",0.0727525152052208
"9",0.0199992007147179
"10",-0.0482314381269394
"11",-0.0996054578316468
"12",-0.154055363683613
"13",-0.191709794506817
"14",-0.154862505206298
"15",-0.0858890877652096
"16",0.0125006526131401
"17",0.12108319671493
"18",0.200865981147101
"19",0.231543878301775
"20",0.189410488618154
"21",0.104449747664847
"22",0.000385813900889336
"23",-0.109508817765823
"24",-0.177715096882416
"25",-0.257792552828743
"26",-0.289596125326395
"27",-0.225754340603903
"28",-0.119676386720786
"29",-0.0169231925431668
"30",0.0802256195827154
"31",0.174701594226796
"32",0.240542678679435
"33",0.236481748849637
"34",0.17711125069072
"35",0.0839225605467048
"36",-0.017249598693758
"37",-0.11686792200908
"38",-0.195242059647092
"39",-0.230660969152179
"40",-0.212294419275409
"41",-0.163453128820934
"42",-0.0884572512857586
"43",0.0257080809570625
"44",0.0998099581640631
"45",0.150530541011975
"46",0.19493721042167
"47",0.18266268886107
"48",0.110413967859059
"49",0.0241679861505193
"50",-0.0494093621999604
"51",-0.109724618471232
"52",-0.147791051120246
"53",-0.151063313653114
"54",-0.120456988775348
"55",-0.081127988764468
"56",-0.031268897507949
"57",0.0225655900556941
"58",0.0794852462607861
"59",0.118934172932002
"60",0.127229872069121
"61",0.0779220150281874
"62",0.0385207007494538
"63",0.021516834524252
"64",0.00509765583878487
"65",-0.00106183454182535
"66",0.00395550275078784
"67",-0.000768656533881371
"68",-0.00614799587919017
"69",-0.0183457081151787
"70",-0.0254705664375034
"71",-0.0227752382352346
"72",-0.0219377867945314
"73",-0.0135624330636697
"74",0.00529171120831629
"75",0.0288572222274913
"76",0.0472670109699848
"77",0.0627624737014943
"78",0.0665870830650886
"79",0.0697723313463021
"80",0.0459665726695146
"81",0.0100863514783931
"82",-0.0322163126555409
"83",-0.100223696500183
"84",-0.130199024239474
"85",-0.115507985693485
"86",-0.0977495360968631
"87",-0.0670722933650223
"88",-0.00312576127659777
"89",0.0691057722383019
"90",0.122988593605059
"91",0.142847969745307
"92",0.132267260723397
"93",0.093788866650179
"94",0.0303838276179005
"95",-0.0357885671958078
"96",-0.12107920615887
"97",-0.191798539349839
"98",-0.190381060554269
"99",-0.155414794974929
"100",-0.103236844164879
"101",-0.0178843464915828
"102",0.0789705278763016
"103",0.161125196901589
"104",0.201280020462428
"105",0.197744581805153
"106",0.143475546278411
"107",0.0447962446779738
"108",-0.0502535784368199
"109",-0.136487260616566
"110",-0.209912884230015
"111",-0.238875790421038
"112",-0.21356754869589
"113",-0.160389192831819
"114",-0.0496105186982351
"115",0.0790454593129667
"116",0.179646455986145
"117",0.225257884434429
"118",0.208647094678185
"119",0.159386679801215
"120",0.0785912992629447
"121",-0.0255662996893595
"122",-0.108230482919601
"123",-0.169982053657353
"124",-0.196231406004031
"125",-0.173360413064586
"126",-0.105627155947013
"127",-0.0153077392165698
"128",0.0647416113247187
"129",0.1086682244684
"130",0.141913711211243
"131",0.150481364450746
"132",0.131355494333952
"133",0.0915502756111488
"134",0.0319778949041477
"135",-0.0293615066325082
"136",-0.0885973239725806
"137",-0.125816174663261
"138",-0.127822252529792
"139",-0.0914277470792995
"140",-0.044763796377938
"141",0.00635660076703777
"142",0.0519536355056447
"143",0.0764380021853241
"144",0.095839290132575
"145",0.0922934890853998
"146",0.0685098018292446
"147",0.0396410126367103
"148",0.0147669828451331
"149",-0.00790449603714545
"150",-0.0185979629437265
"151",-0.00637649948304114
"152",-0.00538887188751339
"153",-0.007170691200892
"154",-0.0244381733425638
"155",-0.0436291953556147
"156",-0.0578992261545699
"157",-0.0631083426601852
"158",-0.0425817687532364
"159",-0.00282355357944183
"160",0.0458346776768004
"161",0.0779322114058886
"162",0.110808854872212
"163",0.123309264791469
"164",0.108864608397656
"165",0.0752625837570112
"166",0.00955972805971493
"167",-0.0710802413351982
"168",-0.135509397334308
"169",-0.168377200557929
"170",-0.166598264577085
"171",-0.135608609116203
"172",-0.0765201710997832
"173",0.00348760581316279
"174",0.0926354446932015
"175",0.173662412241198
"176",0.217380145047391
"177",0.201809676950698
"178",0.153055585487299
"179",0.0772529137640293
"180",-0.0291249182733414
"181",-0.142739123163206
"182",-0.22245179749131
"183",-0.250940880547136
"184",-0.20863264229092
"185",-0.127263698310372
"186",-0.00624961709478738
"187",0.121917506455495
"188",0.212370954194948
"189",0.257860815715245
"190",0.234301000110494
"191",0.153346315824034
"192",0.0417989969399357
"193",-0.075528957620315
"194",-0.177126076852889
"195",-0.235814749548786
"196",-0.240735110087681
"197",-0.205363327768169
"198",-0.12410417973169
"199",-0.0148525390357836
"200",0.101551665173171
"201",0.176590941717923
"202",0.210469835395941
"203",0.196507801838614
"204",0.149389568433467
"205",0.0759544211827952
"206",-0.0118888777753695
"207",-0.0868255689548961
"208",-0.150365790344121
"209",-0.173841096504449
"210",-0.166510330927432
"211",-0.121803259342296
"212",-0.0382664895884337
"213",0.036587843805556
"214",0.0790647761343048
"215",0.109652808030239
