"","ts_y"
"1",0.050576636754726
"2",0.0690763521644306
"3",0.0825272600095706
"4",0.0585590736005289
"5",0.0211859866965559
"6",-0.0375288831518407
"7",-0.0786746448032335
"8",-0.117165734428537
"9",-0.137657576491611
"10",-0.119378744909188
"11",-0.0709507765370338
"12",-0.00442380304622655
"13",0.0668926394445113
"14",0.120411292859509
"15",0.159000983286389
"16",0.169037897124896
"17",0.13528997529717
"18",0.0807753602809649
"19",0.0072819981526179
"20",-0.0780279023085553
"21",-0.160170243779957
"22",-0.205784174273748
"23",-0.188440160393597
"24",-0.140018796664699
"25",-0.060000394077197
"26",0.0512532720180949
"27",0.148272931725754
"28",0.225963534971858
"29",0.265914812308952
"30",0.251002313579658
"31",0.193292700554565
"32",0.0947698232085927
"33",-0.036514293850334
"34",-0.137464188108127
"35",-0.191721793586733
"36",-0.209955722244831
"37",-0.171147852343357
"38",-0.103279370769129
"39",-0.0180471738212956
"40",0.0788507321934213
"41",0.15798072038768
"42",0.214583366637977
"43",0.237317790355065
"44",0.198566609627152
"45",0.103322192351768
"46",0.0008247723210838
"47",-0.0799649503879435
"48",-0.150456341273122
"49",-0.181530511493902
"50",-0.168129609281233
"51",-0.134379250725468
"52",-0.0765030710498004
"53",-0.0198200658730142
"54",0.0438704325024601
"55",0.105735495542158
"56",0.133080220843506
"57",0.129558083823479
"58",0.0925891404034331
"59",0.0326339572359686
"60",-0.020686204027532
"61",-0.0410701169037123
"62",-0.0512371274061368
"63",-0.0614968108040646
"64",-0.0578189555300949
"65",-0.0476738251535454
"66",-0.0391677443773289
"67",-0.0201338224800936
"68",-0.0141709095566818
"69",-0.0157311525812293
"70",-0.0103860133545426
"71",0.00279479148545558
"72",0.0220679948523529
"73",0.0347049301415651
"74",0.0348023081604805
"75",0.0297177318833215
"76",0.0249333284158076
"77",0.00817018450489007
"78",-0.0190994073538235
"79",-0.0472780014009604
"80",-0.0652074182837912
"81",-0.0811299872507469
"82",-0.0965366429258133
"83",-0.0722998047345366
"84",-0.0227931146165527
"85",0.0287540457240189
"86",0.0836790493879014
"87",0.125018465150497
"88",0.140498273792911
"89",0.126636127409207
"90",0.0781001802232661
"91",0.0211926664585222
"92",-0.0448686620636681
"93",-0.0999068040945891
"94",-0.138932185409543
"95",-0.151443376072155
"96",-0.128202540798107
"97",-0.0534331636264141
"98",0.0341166625357381
"99",0.113380695058199
"100",0.162929672144982
"101",0.182323680389924
"102",0.174309950565473
"103",0.118097092799768
"104",0.0282911328252828
"105",-0.0695797519824561
"106",-0.159547597998802
"107",-0.205159412318577
"108",-0.218112989216259
"109",-0.171153646436258
"110",-0.0879347108885939
"111",0.00937963831703684
"112",0.109081175925995
"113",0.181971606526613
"114",0.23237933447602
"115",0.222492435513044
"116",0.159829781621342
"117",0.0657022235327925
"118",-0.0495508812677308
"119",-0.136493587686426
"120",-0.18953272100205
"121",-0.213893996868139
"122",-0.199298020596932
"123",-0.128866155665407
"124",-0.0285992326264325
"125",0.0521333455251112
"126",0.114277598845512
"127",0.162029650294004
"128",0.171538029307081
"129",0.129326347183665
"130",0.0575509030764539
"131",-0.0119483216838893
"132",-0.0732615133639228
"133",-0.131448517509044
"134",-0.148212652159735
"135",-0.138809950671562
"136",-0.100410192937491
"137",-0.0460420644594677
"138",0.00248467380169845
"139",0.0571771972071818
"140",0.0845680125789329
"141",0.0918536089008716
"142",0.077771759801554
"143",0.0466486925896744
"144",0.0156650728879731
"145",-0.0310737977818678
"146",-0.0636907495385904
"147",-0.0721195879789496
"148",-0.0569998925964665
"149",-0.0584347032023614
"150",-0.0526840438106609
"151",-0.0360244889169105
"152",-0.0339075466636873
"153",-0.0319558215507577
"154",-0.0121157292151069
"155",0.00409409444556935
"156",0.0159874441941268
"157",0.0370990302331759
"158",0.0668978562539606
"159",0.091792272167197
"160",0.0782523642313862
"161",0.0392512430109768
"162",0.00340149946695253
"163",-0.0390143465327151
"164",-0.0863945799814765
"165",-0.125727727270479
"166",-0.150704626484944
"167",-0.13820953094845
"168",-0.0885039385097753
"169",-0.0177157866383315
"170",0.0552418188854744
"171",0.112925512601509
"172",0.162708447168386
"173",0.179886301861539
"174",0.146311098877216
"175",0.0892810741970436
"176",0.0162918686038678
"177",-0.0692105557655406
"178",-0.133227113969542
"179",-0.168916127345855
"180",-0.179160841442024
"181",-0.143614209008949
"182",-0.0579859145537065
"183",0.0480960051576299
"184",0.142017805851136
"185",0.204164992155866
"186",0.228639499457951
"187",0.199612035894788
"188",0.126326885693998
"189",0.0279199667947301
"190",-0.0917383731483226
"191",-0.181690120334285
"192",-0.226661141518117
"193",-0.220949309207119
"194",-0.171475888623195
"195",-0.0898643235681565
"196",0.0294276147953392
"197",0.131828494206729
"198",0.187196889007977
"199",0.220657318863472
"200",0.200355440992461
"201",0.131538289366198
"202",0.0336137330014599
"203",-0.0703285450236178
"204",-0.148778685415613
"205",-0.19936761582505
"206",-0.204831746604492
"207",-0.163484276101921
"208",-0.104221684285451
"209",-0.032971944230044
"210",0.0361838972294259
"211",0.100346380691502
"212",0.136702119935437
"213",0.140004205364826
"214",0.119293288498869
"215",0.0730756135636364
"216",0.0124858126005339
"217",-0.0409121186536183
"218",-0.0794816709522417
"219",-0.0898642352315216
"220",-0.0724054299092058
"221",-0.0413870450793945
"222",-0.0101424579295739
"223",0.0248534592736034
"224",0.0487849810682247
"225",0.0652993704967178
"226",0.0823435491667338
"227",0.0958578884043214
"228",0.0953537670993638
"229",0.0734786445716376
"230",0.0486140063462707
"231",0.0268823260353944
"232",-0.00135693017145005
"233",-0.0256679345333981
"234",-0.0517359634088273
"235",-0.0789404994552202
"236",-0.0920433032837231
"237",-0.0812443272012384
"238",-0.0477829949399628
"239",0.00185308589672523
"240",0.0645796346949866
"241",0.121859478811126
"242",0.154341065253872
"243",0.158022268498992
"244",0.135173462636867
"245",0.0802318060014062
"246",0.000186579490813854
"247",-0.0840565201418335
"248",-0.159281756293508
"249",-0.204878171322935
"250",-0.205134538248524
"251",-0.164910561623622
